Rank,Title,Interventions,URL
23,Study to Evaluate a Single Intranasal Dose of STI-2099 (COVI-DROPS™) in Outpatient Adults With COVID-19 (US),Biological: COVI-DROPS|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04906694
24,Safety and Efficacy of C21 in Subjects With COVID-19,Drug: C21|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04452435
25,Study to Evaluate a Single Dose of STI-2020 (COVI-AMG™) in Adults With Mild COVID-19 Symptoms,Biological: COVI-AMG|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04734860
26,Application of Desferal to Treat COVID-19,Drug: Deferoxamine,https://ClinicalTrials.gov/show/NCT04333550
27,Covid-19: Possible Role of Neutrophil Extracellular Traps,Diagnostic Test: NETosis markers,https://ClinicalTrials.gov/show/NCT04412382
28,Study to Evaluate a Single Intranasal Dose of STI-2099 (COVI-DROPS™) in Outpatient Adults With COVID-19 (UK),Biological: COVI-DROPS|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04900428
29,Dornase Alpha for the Treatment of COVID-19,Drug: Pulmozyme,https://ClinicalTrials.gov/show/NCT04432987
30,Study of the Safety and Efficacy of STI-5656 (Abivertinib Maleate) in Subjects Hospitalized Due to COVID-19,Drug: STI-5656|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04528667
31,Cognitive and Psychological Disorders After Severe COVID-19 Infection,Diagnostic Test: Cognitive assessment|Diagnostic Test: Imaging|Diagnostic Test: Routine care|Other: Psychiatric evaluation,https://ClinicalTrials.gov/show/NCT04937582
32,Immunoglobulin G Antibody Immune Response Profile Following Infection With SARS-CoV-2 in COVID-19 Egyptian Patients,,https://ClinicalTrials.gov/show/NCT04483622
33,A Study Evaluating the Efficacy and Safety of CKD-314 in Hospitalized Adult Patients Diagnosed With COVID-19 Pneumonia,Drug: Nafamostat Mesilate,https://ClinicalTrials.gov/show/NCT04628143
34,"Phase 1 Study to Assess Safety, Tolerability, PD, PK, Immunogenicity of IV NTR-441 Solution in Healthy Volunteers and COVID-19 Patients",Drug: NTR-441|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04941183
35,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,Drug: Favipiravir|Other: Placebo,https://ClinicalTrials.gov/show/NCT04336904
36,Safety & Efficacy of Low Dose Aspirin / Ivermectin Combination Therapy for Treatment of Covid-19 Patients,Drug: 3-dayIVM 200 mcg/kg/day/14-day 75mgASA/day + standard of care (intervention 1),https://ClinicalTrials.gov/show/NCT04768179
37,Study of the Sars-Cov2 Neuroinvasiveness - COVID19,"Drug: Cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies",https://ClinicalTrials.gov/show/NCT04427254
38,Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia,Drug: Emtricitabine/tenofovir|Drug: Colchicine Pill|Drug: Rosuvastatin|Other: Standard treatment,https://ClinicalTrials.gov/show/NCT04359095
39,Oestrogen Treatment for COVID-19 Symptoms,Drug: Transdermal estradiol gel,https://ClinicalTrials.gov/show/NCT04853069
40,A Simple Approach to Treat COVID-19 Patients at Home.,Drug: Recommended treatment schedule|Drug: Control treatment schedule,https://ClinicalTrials.gov/show/NCT04794998
41,Study of AZD1222 for the Prevention of COVID-19 in Japan,Drug: AZD1222|Drug: 0.9% (w/v) saline,https://ClinicalTrials.gov/show/NCT04568031
42,Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia,Drug: Tocilizumab,https://ClinicalTrials.gov/show/NCT04445272
43,COVID-19. CT-Scan Modeling in COVID19 Sequelae,,https://ClinicalTrials.gov/show/NCT04747769
44,COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics),Diagnostic Test: ELISA|Diagnostic Test: RT-PCR,https://ClinicalTrials.gov/show/NCT04466644
45,A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection,Biological: anti-SARS-CoV-2 convalescent plasma,https://ClinicalTrials.gov/show/NCT04354831
46,"A Phase 3 Randomized, Double-Blind Placebo Controlled, Multi-regional Trial to Evaluate the Efficacy and Safety of GT0918 for the Treatment of Mild to Moderate COVID-19 Male Patients",Drug: GT0918 tablets or placebo,https://ClinicalTrials.gov/show/NCT04869228
47,Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection,Drug: Ivermectin and Doxycycline|Drug: Standard of care,https://ClinicalTrials.gov/show/NCT04523831
48,Recombinant Hyperimmune Polyclonal Antibody (GIGA-2050) in COVID-19 Patients,Drug: GIGA-2050,https://ClinicalTrials.gov/show/NCT04883138
49,PK and Safety of Remdesivir for Treatment of COVID-19 in Pregnant and Non-Pregnant Women in the US,Drug: Remdesivir,https://ClinicalTrials.gov/show/NCT04582266
50,Genotype and Susceptibility to COVID-19,"Other: Questionnaire administration,blood sampling and genetic analyses.",https://ClinicalTrials.gov/show/NCT04799834
51,Phase 2 Trial Using rhDNase to Reduce Mortality in COVID-19 Patients With Respiratory Failure,Drug: Pulmozyme/ Recombinant human deoxyribonuclease (rh-DNase)|Drug: 0.9%sodium chloride,https://ClinicalTrials.gov/show/NCT04445285
52,CORonavirus (COVID-19) Diagnostic Lung UltraSound Study,Diagnostic Test: Lung ultrasound,https://ClinicalTrials.gov/show/NCT04351802
53,Fatigue and Sleep in Patients With COVID-19,Other: survey,https://ClinicalTrials.gov/show/NCT04657419
54,Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression,Drug: Tocilizumab|Drug: Methylprednisolone,https://ClinicalTrials.gov/show/NCT04345445
55,Active Pharmacovigilance Study of Adsorbed COVID-19 (Inactivated) Vaccine,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,https://ClinicalTrials.gov/show/NCT04845048
56,Phase III Study of AZD7442 for Treatment of COVID-19 in Outpatient Adults,Drug: AZD7442|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04723394
57,"Evaluating Safety, Pharmacokinetics and Clinical Benefit of Silmitasertib (CX-4945) in Subjects With Moderate COVID-19",Drug: Silmitasertib|Drug: SOC,https://ClinicalTrials.gov/show/NCT04663737
58,Safety and Tolerability of Emricasan in Symptomatic Outpatients Diagnosed With Mild-COVID-19,Drug: Emricasan|Other: Placebo,https://ClinicalTrials.gov/show/NCT04803227
59,How Routine Biomarkers and Blood Leucocytes Count Can Assist Diagnosis of COVID-19 in Emergency Department,,https://ClinicalTrials.gov/show/NCT04401241
60,Convalescent Plasma Treatment in COVID-19,Biological: Convalescent Plasma (CP)|Other: Drugs and supportive care,https://ClinicalTrials.gov/show/NCT04476888
61,Repurposing of Chlorpromazine in Covid-19 Treatment,Drug: CHLORPROMAZINE (CPZ)|Combination Product: Standard of Care (SOC),https://ClinicalTrials.gov/show/NCT04366739
62,Comparison of Two Doses of Enoxaparin for Thromboprophylaxis in Hospitalized COVID-19 Patients,Drug: Enoxaparin,https://ClinicalTrials.gov/show/NCT04366960
63,Balance in COVID-19,Other: Balance assessments,https://ClinicalTrials.gov/show/NCT04914364
64,Long-term Outcomes in Patients With COVID-19,,https://ClinicalTrials.gov/show/NCT04508712
65,Fluvoxamine Administration in Moderate SARS-CoV-2 (COVID-19) Infected Patients,Drug: Placebo|Drug: Fluvoxamine,https://ClinicalTrials.gov/show/NCT04718480
66,Efficacy of Reinforcing Standard Therapy in COVID-19 Patients With Repeated Transfusion of Convalescent Plasma,Other: Convalescent Plasma with antibody against SARS-CoV-2.|Other: Standard treatment for COVID-19,https://ClinicalTrials.gov/show/NCT04803370
67,The IRCM POST-COVID-19 (IPCO) Clinic,Other: Medical follow-up,https://ClinicalTrials.gov/show/NCT04736732
68,Isotretinoin in Treatment of COVID-19,Drug: Isotretinoin Only Product in Oral Dose Form,https://ClinicalTrials.gov/show/NCT04361422
69,Worldwide Trends on COVID-19 Research After the Declaration of COVID-19 Pandemic,Drug: Convalescent Plasma Transfusion|Drug: Hydroxychloroquine|Drug: DAS181|Drug: Ivermectin|Drug: Interferon Beta-1A,https://ClinicalTrials.gov/show/NCT04460547
70,Colchicine in Moderate Symptomatic COVID-19 Patients,Drug: Colchicine|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04527562
71,"Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease",Other: Exposure,https://ClinicalTrials.gov/show/NCT04355741
72,Effectiveness of Hydroxychloroquine in Covid-19 Patients,Drug: Hydroxychloroquine 200 Mg Oral Tablet|Drug: Azithromycin 500Mg Oral Tablet|Dietary Supplement: Glucose tablets,https://ClinicalTrials.gov/show/NCT04328272
73,Inhaled Nitric Oxide for Preventing Progression in COVID-19,Drug: Nitric Oxide,https://ClinicalTrials.gov/show/NCT04388683
74,Virgin Coconut Oil as Adjunctive Therapy for Hospitalized COVID-19 Patients,Drug: Virgin Coconut Oil,https://ClinicalTrials.gov/show/NCT04849637
75,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Post- Exposure Prophylaxis of COVID-19 in Adults",Drug: AZD7442|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04625972
76,Screening for COVID-19,Diagnostic Test: suspected of COVID-19 infection,https://ClinicalTrials.gov/show/NCT04615208
77,Ivermectin Treatment Efficacy in Covid-19 High Risk Patients,Drug: Ivermectin 0.4mg/kg/day for 5 days,https://ClinicalTrials.gov/show/NCT04920942
78,Efficacy and Safety of Sirolimus in COVID-19 Infection,Drug: Sirolimus,https://ClinicalTrials.gov/show/NCT04461340
79,Developement and Evaluation of Serological Assays for COVID-19,,https://ClinicalTrials.gov/show/NCT04377763
80,Anti COVID-19 Convalescent Plasma Therapy,Biological: anti-SARS-CoV-2 convalescent plasma,https://ClinicalTrials.gov/show/NCT04345679
81,Evaluation of the Effect of Anatolian Propolis on Covid-19 in Healthcare Professionals,Dietary Supplement: Anatolian Propolis,https://ClinicalTrials.gov/show/NCT04680819
82,Serological Surveillance for COVID-19 in Central North Carolina,,https://ClinicalTrials.gov/show/NCT04490174
83,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19,Drug: Standard COVID-19 care|Dietary Supplement: Quercetin Phytosome,https://ClinicalTrials.gov/show/NCT04578158
84,Post Acute COVID-19 Quality of Life (PAC-19QoL) Tool Development and Patient Registry (PAC-19QoLReg),Other: No intervention - quality of life measure,https://ClinicalTrials.gov/show/NCT04586413
85,Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19,Drug: Lactoferrin,https://ClinicalTrials.gov/show/NCT04421534
86,Lung Ultrasound Implementation in the Management of Patients Hospitalized With COVID-19,Diagnostic Test: Lung ultrasound use in patients hospitalized with COVID,https://ClinicalTrials.gov/show/NCT04542421
87,COVID-19: Salvage TOcilizumab as a Rescue Measure,Drug: iv Tocillizumab (TCZ),https://ClinicalTrials.gov/show/NCT04577534
88,SERUR: COVID-19 Serological Survey of Staff From the University Reims-Champagne Ardennes,Diagnostic Test: Anti-SARS-CoV2 Serology,https://ClinicalTrials.gov/show/NCT04816084
89,Lung Diffusing Capacity for Nitric Oxide and Carbon Monoxide Early After Mild-to-severe COVID-19,,https://ClinicalTrials.gov/show/NCT04610554
90,A Trial of NT-I7 in COVID-19 (SPESELPIS),Drug: Double-Blind NT-I7|Drug: Double-Blind Placebo,https://ClinicalTrials.gov/show/NCT04501796
91,Impact of Adipose Tissue in COVID-19,Other: Adipose tissue,https://ClinicalTrials.gov/show/NCT04639440
92,Autologous Adipose-derived Stem Cells (AdMSCs) for COVID-19,Biological: autologous adipose-derived stem cells,https://ClinicalTrials.gov/show/NCT04428801
93,DISulfiram for COvid-19 (DISCO) Trial,Drug: Disulfiram|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04485130
94,"Chronic Lung Disease and COVID-19: Understanding Severity, Recovery and Rehabilitation Needs",Other: Rehabilitation-focused program,https://ClinicalTrials.gov/show/NCT04628039
95,Hyperimmune Plasma for Critical Patients With COVID-19,Other: hyperimmune plasma,https://ClinicalTrials.gov/show/NCT04321421
96,Clinical Application of Methylene Blue for Treatment of Covid-19 Patients,"Drug: MCN (Methylene blue, vitamin C, N-acetyl cysteine)",https://ClinicalTrials.gov/show/NCT04370288
97,The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19,Drug: Clevudine|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04347915
98,Validation of a Rapid Quantitative Test for Loss of Smell in COVID-19 Subjects,Device: olfactory device,https://ClinicalTrials.gov/show/NCT04431908
99,Evaluation of the Immune Response to SARS-CoV-2 Among Patients With Covid-19 in Costa Rica,Genetic: 1. Characterize the immune response after infection with SARS-CoV-2,https://ClinicalTrials.gov/show/NCT04537338
100,Low Dose Lung Radiotherapy to Treat COVID-19 Pneumonia,Radiation: Low dose Radiotherapy,https://ClinicalTrials.gov/show/NCT04572412
101,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg,https://ClinicalTrials.gov/show/NCT04333407
102,Impact of GSE and Xylitol (Xlear) on COVID-19 Symptoms and Time to PCR Negativisation in COVID-19 Patients,Drug: GSE and Xylitol,https://ClinicalTrials.gov/show/NCT04854486
103,MP1032 Treatment in Patients With Moderate to Severe COVID-19,Drug: MP1032|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04932941
104,To Evaluate the Safety and Efficacy of TQ Formula in Covid-19 Participants,Drug: Black Seed Oil Cap/Tab,https://ClinicalTrials.gov/show/NCT04914377
105,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Pre-exposure Prophylaxis of COVID-19 in Adult.",Drug: AZD7442|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04625725
106,Hydroxychloroquine (HCQ) as Post Exposure Prophylaxis (PEP) for Prevention of COVID-19,Drug: Hydroxychloroquine (HCQ)|Other: Standard care|Other: Placebo,https://ClinicalTrials.gov/show/NCT04858633
107,Prediction of Clinical Course in COVID19 Patients,Other: CT-Scan,https://ClinicalTrials.gov/show/NCT04377685
108,Aprepitant Injectable Emulsion in Patients With COVID-19 (GUARDS-1),Drug: Aprepitant injectable emulsion|Drug: Saline Placebo,https://ClinicalTrials.gov/show/NCT04470622
109,KBP-201 COVID-19 Vaccine Trial in Healthy Volunteers,Biological: Low Dose of KBP-COVID-19|Biological: High Dose of KBP-COVID-19|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04473690
110,Catalysing the Containment of COVID-19,Drug: Nitazoxanide|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04523090
111,An Effectiveness Study of the Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,https://ClinicalTrials.gov/show/NCT04747821
112,COVID-19 Symptom Tracker,Other: No Intervention,https://ClinicalTrials.gov/show/NCT04331509
113,COVID-19 Convalescent Plasma (CCP) Transfusion,Biological: COVID Convalescent Plasma,https://ClinicalTrials.gov/show/NCT04412486
114,VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation,Drug: VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),https://ClinicalTrials.gov/show/NCT04452669
115,Wearable Diagnostic for Detection of COVID-19 Infection,,https://ClinicalTrials.gov/show/NCT04742569
116,Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial),Drug: Enoxaparin sodium|Drug: Unfractionated heparin|Drug: Fondapariniux|Drug: Argatroban,https://ClinicalTrials.gov/show/NCT04406389
117,Short Term Low Dose Corticosteroids for Management of Post covid19 Pulmonary Fibrosis,Drug: 20 Mg Prednisone for 14 days|Drug: control,https://ClinicalTrials.gov/show/NCT04551781
118,The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19,Drug: Huaier Granule,https://ClinicalTrials.gov/show/NCT04291053
119,COVID-19 Endoscopy Survey,Other: Practice details,https://ClinicalTrials.gov/show/NCT04342637
120,VEGF and sFlt-1 Levels in the Pathogenesis and Severity of COVID-19 Disease,,https://ClinicalTrials.gov/show/NCT04587323
121,Convalescent Plasma as Adjunctive Therapy for Hospitalized Patients With COVID-19,Drug: Anti-SARS-CoV-2 convalescent plasma,https://ClinicalTrials.gov/show/NCT04567173
122,Evaluation of the Efficacy of High Doses of Methylprednisolone in SARS-CoV2 ( COVID-19) Pneumonia Patients,"Drug: Methylprednisolone, Placebo",https://ClinicalTrials.gov/show/NCT04673162
123,"Multicenter, Retrospective Study of the Effects of Remdesivir in the Treatment of Severe Covid-19 Infections",Drug: Remdesivir,https://ClinicalTrials.gov/show/NCT04365725
124,Effectiveness and Safety of Rhea Health Tone® as add-on Therapy for COVID-19 in Hospitalized Adults in Indonesia,Dietary Supplement: Rhea Health Tone®,https://ClinicalTrials.gov/show/NCT04627519
125,Telerehabilitation in Covid-19 After Hospital Discharge,Other: Standard Physiotherapy program|Other: Telerehabilitation,https://ClinicalTrials.gov/show/NCT04742946
126,Estrogen Therapy in Non-severe COVID-19 Patients,Drug: Estrogen Therapy,https://ClinicalTrials.gov/show/NCT04539626
127,Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination,Biological: covid-19 vaccine,https://ClinicalTrials.gov/show/NCT04706390
128,Oxygen Requirements and Use in Patients With COVID-19 in LMICs,,https://ClinicalTrials.gov/show/NCT04918875
129,Study of COVID-19 DNA Vaccine (AG0302-COVID19),Biological: AG0302-COVID19,https://ClinicalTrials.gov/show/NCT04527081
130,Clinical Study in the Treatment of Patients With Moderate Course of COVID-19,Drug: COVID-globulin|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04842435
131,Study of COVID-19 DNA Vaccine (AG0301-COVID19),Biological: AG0301-COVID19,https://ClinicalTrials.gov/show/NCT04463472
132,SARS-CoV-2 (COVID-19) Detection Using the Breath Analizer TeraSystem,Diagnostic Test: Breath sample,https://ClinicalTrials.gov/show/NCT04497610
133,Thymic Function in Patients With COVID-19,Genetic: Single-Nucleotide Polymorphisms (SNP) within the TCRA/D region|Biological: Blood sample|Diagnostic Test: CT Scan|Biological: Bronchial fibroscopy,https://ClinicalTrials.gov/show/NCT04716907
134,"A Prospective ""Universal"" Observational Database for COVID-19",,https://ClinicalTrials.gov/show/NCT04347993
135,Study to Evaluate a Single Dose of LTX-109 in Subjects With COVID-19 (Coronavirus Disease 2019) Infection.,"Drug: LTX-109 gel, 3%|Drug: Placebo gel",https://ClinicalTrials.gov/show/NCT04854928
136,Clinical Study in the Treatment of Patients With COVID-19,Drug: Molixan|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04780672
137,Convalescent Plasma in the Early Treatment of High-Risk Patients With SARS-CoV-2 (COVID-19) Infection,Biological: Convalescent Plasma,https://ClinicalTrials.gov/show/NCT04513158
138,"Efficacy of Convalescent Plasma to Treat COVID-19 Patients, a Nested Trial in the CORIMUNO-19 Cohort",Drug: Transfusion of COVID-19 convalescent plasma,https://ClinicalTrials.gov/show/NCT04345991
139,Pegylated Interferon Lambda for Treatment of COVID-19 Infection,Drug: Lambda 180 mcg S.C,https://ClinicalTrials.gov/show/NCT04534673
140,Psychosocial Care During the COVID-19 Pandemic in Acute Hospitals,Other: Online survey questionnaire,https://ClinicalTrials.gov/show/NCT04753242
141,Characteristics and Outcomes of Hospitalized Patients With COVID-19 in Spain,,https://ClinicalTrials.gov/show/NCT04355871
142,The Role of High Dose Co-trimoxazole in Severe Covid-19 Patients,Drug: Co-trimoxazole|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04884490
143,Cardiac Assessment After Covid-19 Disease in Elite Altheltic Population,,https://ClinicalTrials.gov/show/NCT04653857
144,"CRP-Apheresis for Attenuation of Pulmonary, MYocardial and/or Kidney Injury in COvid-19",Device: CRP-apheresis,https://ClinicalTrials.gov/show/NCT04898062
145,COVID-19 Among Pregnant Women in Assiut,,https://ClinicalTrials.gov/show/NCT04822402
146,Study of Multiple Candidate Agents for the Treatment of COVID-19 in Hospitalized Patients,Drug: Standard of care|Drug: Apremilast|Drug: Apremilast placebo|Drug: Lanadelumab|Drug: Lanadelumab placebo|Drug: Zilucoplan|Drug: Zilucoplan placebo,https://ClinicalTrials.gov/show/NCT04590586
147,The Safety and Efficacy of FB2001 in Healthy Subjects and Patients With COVID-19 Infection,Drug: FB2001|Drug: FB2001 Placebo,https://ClinicalTrials.gov/show/NCT04766931
148,Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19,Device: oxyhydrogen|Device: Oxygen,https://ClinicalTrials.gov/show/NCT04336462
149,Rehabilitation for Patients With Persistent Symptoms Post COVID-19,Other: Concentrated rehabilitation for patients with persistent symptoms post COVID-19,https://ClinicalTrials.gov/show/NCT04836351
150,Safety and Efficacy of Melatonin in Outpatients Infected With COVID-19,Drug: Melatonin|Other: Placebo (Methylcellulose) capsule,https://ClinicalTrials.gov/show/NCT04474483
151,A Clinical Trial of a Recombinant Adenovirus 5 Vectored COVID-19 Vaccine (Ad5-nCoV) With Two Doses in Healthy Adults,Biological: Ad5-nCoV,https://ClinicalTrials.gov/show/NCT04552366
152,Contagiousness and Immunogenicity Status of COVID-19 in Asymptomatic Population (COVID-19 CONDITION),,https://ClinicalTrials.gov/show/NCT04389658
153,An Adaptive Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,Drug: Favipiravir|Drug: Standard of Care,https://ClinicalTrials.gov/show/NCT04434248
154,TOCILIZUMAB - An Option for Patients With COVID-19 Associated Cytokine Release Syndrome; A Single Center Experience,Drug: Tocilizumab,https://ClinicalTrials.gov/show/NCT04730323
155,"Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells to Treat Post COVID-19 ""Long Haul"" Pulmonary Compromise",Biological: COVI-MSC,https://ClinicalTrials.gov/show/NCT04909892
156,Assessment of Vitamin D Level in COVID-19,Diagnostic Test: Vitamin D,https://ClinicalTrials.gov/show/NCT04949412
157,Efficacy and Safety of XAV-19 for the Treatment of Moderate-to-severe COVID-19,Drug: XAV-19|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04928430
158,Diagnostic Performance of the ID Now™ COVID-19 Screening Test Versus Simplexa™ COVID-19 Direct Assay,Diagnostic Test: ID Now™ COVID-19 Screening Test,https://ClinicalTrials.gov/show/NCT04785898
159,Immunohematology in COVID-19 Patients: A Hospital-based Retrospective Cohort Study,,https://ClinicalTrials.gov/show/NCT04932954
160,Phase II / III Study of COVID-19 DNA Vaccine (AG0302-COVID19),Biological: Group A (AG0302-COVID19)|Biological: Group A (Placebo)|Biological: Group B (AG0302-COVID19)|Biological: Group B (Placebo),https://ClinicalTrials.gov/show/NCT04655625
161,Convalescent Plasma for Treatment of COVID-19: An Open Randomised Controlled Trial,Biological: SARS-CoV-2 convalescent plasma|Other: Standard of care,https://ClinicalTrials.gov/show/NCT04649879
162,Neuroradiolological Analysis of COVID-19 Patients,,https://ClinicalTrials.gov/show/NCT04368390
163,Study of DS-5670a (COVID-19 Vaccine) in Japanese Healthy Adults and Elderly Subjects,Biological: DS-5670a|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04821674
164,Ultramicronized Palmitoylethanolamide (PEA) Treatment in Hospitalized Participants With COVID-19,Drug: FSD201|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04619706
165,COVID-19 Antithrombotic Rivaroxaban Evaluation,Drug: Rivaroxaban 10 mg,https://ClinicalTrials.gov/show/NCT04757857
166,Hyperimmune Plasma for Patients With COVID-19,Other: treated with hyperimmune plasma,https://ClinicalTrials.gov/show/NCT04614012
167,Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia,Drug: FT516,https://ClinicalTrials.gov/show/NCT04363346
168,Efficacy of Convalescent Plasma Therapy in the Early Care of COVID-19 Patients.,Drug: Transfusion of SARS-CoV-2 Convalescent Plasma.|Drug: Transfusion of standard Plasma.,https://ClinicalTrials.gov/show/NCT04372979
169,Setting up a COVID-19 Care Facility at a Prison in Pakistan,Other: COVID-19 FACILITY,https://ClinicalTrials.gov/show/NCT04404179
170,Convalescent Plasma as Treatment for Subjects With Early COVID-19 Infection,Biological: Convalescent Plasma|Other: Best Supportive Care,https://ClinicalTrials.gov/show/NCT04456413
171,Antioxidant Therapy for COVID-19 Study,Dietary Supplement: Antioxidation Therapy|Other: Standard of Care,https://ClinicalTrials.gov/show/NCT04466657
